tenant_id,num_qp,success,total_time_us,avg_latency_us,p50_latency_us,p99_latency_us
1,10,10,43031.0,4303.1,1813.0,2546.0
2,10,10,40753.0,4075.3,1720.0,2350.0
3,10,10,40474.0,4047.4,1260.0,2333.0
4,10,10,45687.0,4568.7,2144.0,2933.0
5,10,10,40923.0,4092.3,1354.0,2452.0
6,10,10,37594.0,3759.4,1243.0,2288.0
7,10,10,41767.0,4176.7,1695.0,2538.0
8,10,10,42446.0,4244.6,1903.0,2430.0
9,10,10,41419.0,4141.9,1455.0,2400.0
10,10,10,48482.0,4848.2,2132.0,2809.0
11,10,10,49010.0,4901.0,1792.0,3423.0
12,10,10,47828.0,4782.8,1837.0,2484.0
13,10,10,49569.0,4956.9,2144.0,3278.0
14,10,10,37151.0,3715.1,1646.0,2260.0
15,10,10,51330.0,5133.0,1865.0,2672.0
16,10,10,35773.0,3577.3,1427.0,2663.0
17,10,10,55286.0,5528.6,2404.0,2973.0
18,10,10,35641.0,3564.1,1637.0,2236.0
19,10,10,53768.0,5376.8,2100.0,2825.0
20,10,10,54780.0,5478.0,1769.0,3817.0
21,10,10,53368.0,5336.8,2092.0,2364.0
22,10,10,53147.0,5314.7,2114.0,2542.0
23,10,10,53255.0,5325.5,2219.0,2913.0
24,10,10,53343.0,5334.3,2223.0,2771.0
25,10,10,54286.0,5428.6,2435.0,3404.0
26,10,10,32712.0,3271.2,1300.0,2858.0
27,10,10,31872.0,3187.2,1354.0,2038.0
28,10,10,55634.0,5563.4,2284.0,2742.0
29,10,10,56329.0,5632.9,2327.0,3303.0
30,10,10,57027.0,5702.7,2005.0,3261.0
31,10,10,55354.0,5535.4,2259.0,2626.0
32,10,10,54959.0,5495.9,2041.0,2914.0
33,10,10,55292.0,5529.2,1920.0,2646.0
34,10,10,54682.0,5468.2,2147.0,2604.0
35,10,10,54694.0,5469.4,2120.0,2752.0
36,10,10,56348.0,5634.8,2207.0,3104.0
37,10,10,53793.0,5379.3,1905.0,2481.0
38,10,10,54821.0,5482.1,2192.0,3187.0
39,10,10,53532.0,5353.2,2163.0,3097.0
40,10,10,53241.0,5324.1,2090.0,2682.0
41,10,10,51629.0,5162.9,2103.0,3033.0
42,10,10,49202.0,4920.2,1999.0,2257.0
43,10,10,52690.0,5269.0,2162.0,2373.0
44,10,10,50465.0,5046.5,2169.0,2822.0
45,10,10,49357.0,4935.7,2138.0,2528.0
46,10,10,47614.0,4761.4,1890.0,2514.0
47,10,10,50071.0,5007.1,1911.0,3905.0
48,10,10,48474.0,4847.4,1990.0,2831.0
49,10,10,48918.0,4891.8,2123.0,3108.0
50,10,10,46171.0,4617.1,1775.0,2650.0
